毁灭,hui3 mie4,to perish
不可估量,bu4 ke3 gu1 liang4,inestimable
举世闻名,ju3 shi4 wen2 ming2,world-famous (idiom)
众星拱月,zhong4 xing1 gong3 yue4,see 眾星捧月|众星捧月[zhong4 xing1 peng3 yue4
金碧辉煌,jin1 bi4 hui1 huang2,gold and jade in glorious splendor (idiom)
殿堂,dian4 tang2,palace
亭台楼阁,ting2 tai2 lou2 ge2,pavilions and kiosks (in Chinese gardens)
象征,xiang4 zheng1,emblem
仿照,fang3 zhao4,to imitate
诗情画意,shi1 qing2 hua4 yi4,picturesque charm
建筑,jian4 zhu4,to construct
漫游,man4 you2,to travel around
天南海北,tian1 nan2 hai3 bei3,see 天南地北[tian1 nan2 di4 bei3
饱览,bao3 lan3,to look intensively
风景名胜,feng1 jing3 ming2 sheng4,Scenic Spot
境界,jing4 jie4,boundary
宏伟,hong2 wei3,grand
奇珍异宝,qi2 zhen1 yi4 bao3,rare treasure (idiom)
博物馆,bo2 wu4 guan3,museum
统统,tong3 tong3,totally
搬运,ban1 yun4,freight
销毁,xiao1 hui3,to destroy (by melting or burning)
罪证,zui4 zheng4,criminal evidence
奉命,feng4 ming4,to receive orders
