渔船,yu2 chuan2,fishing boat
报考,bao4 kao3,to enter oneself for an examination
教训,jiao4 xun5,lesson
心疼,xin1 teng2,to love dearly
席子,xi2 zi5,woven mat
庙会,miao4 hui4,temple fair
彩排,cai3 pai2,dress rehearsal
糖果,tang2 guo3,candy
抽象,chou1 xiang4,abstract
启迪,qi3 di2,to edify
毕业,bi4 ye4,graduation
寄宿,ji4 su4,to stay
师范,shi1 fan4,teacher-training
路费,lu4 fei4,travel expenses
轮换,lun2 huan4,to rotate
领略,ling3 lu:e4,to have a taste of
意境,yi4 jing4,artistic mood or conception
磨灭,mo2 mie4,to obliterate
精致,jing1 zhi4,delicate
