无价之宝,wu2 jia4 zhi1 bao3,priceless treasure
召集,zhao4 ji2,to convene
大臣,da4 chen2,chancellor (of a monarchy)
商议,shang1 yi4,to negotiate
解决,jie3 jue2,to settle (a dispute)
完好无缺,wan2 hao3 wu2 que1,in perfect condition
称赞,cheng1 zan4,to praise
商量,shang1 liang5,to consult
允诺,yun3 nuo4,to promise
典礼,dian3 li3,celebration
得罪,de2 zui4,to commit an offense
胆怯,dan3 qie4,timidity
示弱,shi4 ruo4,not to fight back
拒绝,ju4 jue2,to refuse
职位,zhi2 wei4,post
同心协力,tong2 xin1 xie2 li4,to work with a common purpose (idiom)
