诊所,zhen3 suo3,clinic
年龄,nian2 ling2,(a person's) age
熟练,shu2 lian4,practiced
审视,shen3 shi4,to look closely at
一针见血,yi1 zhen1 jian4 xie3,lit. to draw blood on the first prick (idiom)
施行,shi1 xing2,to put in place
清醒,qing1 xing3,clear-headed
颤抖,chan4 dou3,to shudder
一声不吭,yi1 sheng1 bu4 keng1,to not say a word
崭新,zhan3 xin1,brand new
由衷,you2 zhong1,heartfelt
苍白,cang1 bai2,pale
慈祥,ci2 xiang2,kindly
肃然起敬,su4 ran2 qi3 jing4,to feel deep veneration for sb (idiom)
荣幸,rong2 xing4,honored (to have the privilege of ...)
