威风凛凛,wei1 feng1 lin3 lin3,majestic
疙瘩,ge1 da5,swelling or lump on skin
疲倦,pi2 juan4,to tire
呆头呆脑,dai1 tou2 dai1 nao3,dull-headed
冰棍,bing1 gun4,popsicle
别出心裁,bie2 chu1 xin1 cai2,to hit on sth new (idiom)
技高一筹,ji4 gao1 yi1 chou2,highly skilled
橡皮,xiang4 pi2,rubber
跺脚,duo3 jiao3,to stomp
大步流星,da4 bu4 liu2 xing1,at a stride
颓然,tui2 ran2,decrepit
暴露无遗,bao4 lu4 wu2 yi2,to lay bare
沮丧,ju3 sang4,dispirited
抽屉,chou1 ti5,drawer
念念有词,nian4 nian4 you3 ci2,variant of 念念有詞|念念有词[nian4 nian4 you3 ci2
忘乎所以,wang4 hu1 suo3 yi3,to get carried away
心满意足,xin1 man3 yi4 zu2,perfectly contented (idiom)
