渔夫,yu2 fu1,fisherman
汹涌澎湃,xiong1 yong3 peng2 pai4,turbulent and surging -> water
风暴,feng1 bao4,storm
轰鸣,hong1 ming2,boom (sound of explosion)
心惊肉跳,xin1 jing1 rou4 tiao4,lit. heart alarmed- body leaping (idiom)
沉思,chen2 si1,to contemplate
抱怨,bao4 yuan4,to complain
倾听,qing1 ting1,to listen attentively
探望,tan4 wang4,to visit
照顾,zhao4 gu5,to take care of
困难,kun4 nan5,difficult
阴冷,yin1 leng3,gloomy and cold
自作自受,zi4 zuo4 zi4 shou4,to reap what one has sown (idiom)
湿淋淋,shi1 lin2 lin2,wet
渔网,yu2 wang3,fishing net
糟糕,zao1 gao1,too bad
忧虑,you1 lü4,to worry
后脑勺,hou4 nao3 shao2,back of the head
