晶莹,jing1 ying2,sparkling and translucent
摇篮,yao2 lan2,cradle
壮观,zhuang4 guan1,spectacular
和蔼,he2 ai3,kindly
资源,Zi1 yuan2,Ziyuan county in Guilin 桂林[Gui4 lin2]- Guangxi
有限,you3 xian4,limited
矿产,kuang4 chan3,minerals
无私,wu2 si1,selfless
慷慨,kang1 kai3,vehement
节制,jie2 zhi4,to control
枯竭,ku1 jie2,used up
贡献,gong4 xian4,to contribute
毁坏,hui3 huai4,to damage
滥用,lan4 yong4,to misuse
生态,sheng1 tai4,ecology
设想,she4 xiang3,to imagine
例如,li4 ru2,for example
基地,ji1 di4,base (of operations)
目睹,mu4 du3,to witness
子孙,zi3 sun1,offspring
