绿毯,lü4 tan3,green carpet - here referring to a grass plain
线条,xian4 tiao2,line (in drawing- calligraphy etc)
柔美,rou2 mei3,gentle and beautiful
惊叹,jing1 tan4,to exclaim in admiration
回味,hui2 wei4,to reflect on
乐趣,le4 qu4,delight
目的地,mu4 di4 di4,destination (location)
洒脱,sa3 tuo1,free and at ease
玻璃,bo1 li5,glass
衣裳,yi1 shang5,clothes
彩虹,cai3 hong2,rainbow
马蹄,ma3 ti2,horse's hoof
热乎乎,re4 hu1 hu1,nice and warm
礼貌,li3 mao4,courtesy
拘束,ju1 shu4,to restrict
举杯,ju3 bei1,to toast sb (with wine etc)
感人,gan3 ren2,touching
会心,hui4 xin1,knowing (of a smile- look etc)
微笑,wei1 xiao4,smile
