宅院,zhai2 yuan4,house
幽雅,you1 ya3,serene and elegant (of a place)
伏案,fu2 an4,to bend over one's desk (writing- studying- taking a nap etc)
浑浊,hun2 zhuo2,muddy
笨拙,ben4 zhuo1,clumsy
眼帘,yan3 lian2,eyes (in literature)
参差,cen1 ci1,uneven
单薄,dan1 bo2,weak
文思,wen2 si1,the train of thought in writing
梦想,meng4 xiang3,(fig.) to dream of
迷蒙,mi2 meng2,misty
模糊,mo2 hu5,vague
花蕾,hua1 lei3,bud
恰如,qia4 ru2,just as if
衣襟,yi1 jin1,the front piece(s) of a Chinese jacket
恍然,huang3 ran2,suddenly (understand sth)
愁怨,chou2 yuan4,distress and anxiety
顺心,shun4 xin1,happy
平淡,ping2 dan4,flat
