日寇,ri4 kou4,Japanese invaders
奋战,fen4 zhan4,to fight bravely
险要,xian3 yao4,strategically situated and easy to defend
手榴弹,shou3 liu2 dan4,hand grenade
全神贯注,quan2 shen2 guan4 zhu4,to concentrate one's attention completely (idiom)
悬崖,xuan2 ya2,precipice
斩钉截铁,zhan3 ding1 jie2 tie3,lit. to chop the nail and slice the iron (idiom)
热血沸腾,re4 xue4 fei4 teng2,to be fired up (idiom)
攀登,pan1 deng1,to climb
居高临下,ju1 gao1 lin2 xia4,to live high and look down (idiom)
山涧,shan1 jian4,mountain stream
粉身碎骨,fen3 shen1 sui4 gu3,lit. torn body and crushed bones (idiom)
电子,dian4 zi3,electronic
屹立,yi4 li4,to tower
眺望,tiao4 wang4,to survey the scene from an elevated position
喜悦,xi3 yue4,happy
壮烈,zhuang4 lie4,brave
豪迈,hao2 mai4,bold
不屈,bu4 qu1,unyielding
惊天动地,jing1 tian1 dong4 di4,world-shaking (idiom)
