政府,zheng4 fu3,government
外宾,wai4 bin1,foreign guest
汇集,hui4 ji2,to collect
预定,yu4 ding4,to schedule in advance
爆发,bao4 fa1,to break out
排山倒海,pai2 shan1 dao3 hai3,lit. to topple the mountains and overturn the seas (idiom)
就位,jiu4 wei4,in position
宣告,xuan1 gao4,to declare
雄伟,xiong2 wei3,grand
肃静,su4 jing4,silence
语调,yu3 diao4,intonation
完毕,wan2 bi4,to finish
检阅,jian3 yue4,to inspect
制服,zhi4 fu2,to subdue
坦克,tan3 ke4,tank (military vehicle) (loanword)
一致,yi1 zhi4,unanimous
距离,ju4 li2,distance
高潮,gao1 chao2,high tide
次序,ci4 xu4,sequence
